Rack	Well	CatalogNumber	GeneSymbol	EntrezGeneID	Accession
Plate 2	A01	NA	GFP	NA	NA
Plate 2	A02	NA	mock	NA	NA
Plate 2	A03	M-003104-02	AXL	558	NM_001699
Plate 2	A04	M-008914-00	AZU1	566	NM_001700
Plate 2	A05	M-004932-00	BCKDK	10295	NM_005881
Plate 2	A06	M-003875-04	BCR	613	NM_004327
Plate 2	A07	M-005436-00	BDKRB2	624	NM_000623
Plate 2	A08	M-003105-03	BLK	640	NM_001715
Plate 2	A09	M-020353-01	BLNK	29760	NM_013314
Plate 2	A10	M-005071-00	BMP2K	55589	NM_017593
Plate 2	A11	M-004933-03	BMPR1A	657	NM_004329
Plate 2	A12	M-004934-01	BMPR1B	658	NM_001203
Plate 2	B01	NA	COPB2	NA	NA
Plate 2	B02	NA	WEE1	NA	NA
Plate 2	B03	M-005309-02	BMPR2	659	NM_001204
Plate 2	B04	M-003106-02	BMX	660	NM_001721
Plate 2	B05	M-003460-01	BRAF	673	NM_004333
Plate 2	B06	M-004935-01	BRD2	6046	NM_005104
Plate 2	B07	M-004938-01	BRDT	676	NM_001726
Plate 2	B08	M-003107-01	BTK	695	NM_000061
Plate 2	B09	M-004102-00	BUB1	699	NM_004336
Plate 2	B10	M-004101-00	BUB1B	701	NM_001211
Plate 2	B11	M-005310-00	C14ORF20	283629	NM_174944
Plate 2	B12	M-003108-01	TP53RK	112858	NM_033550
Plate 2	C01	NA	Allstar	NA	NA
Plate 2	C02	NA	PLK1	NA	NA
Plate 2	C03	M-003754-01	TRIB3	57761	NM_021158
Plate 2	C04	M-007254-01	C6ORF199	221264	NM_145025
Plate 2	C05	M-018324-01	C7ORF16	10842	NM_006658
Plate 2	C06	M-003633-01	TRIB1	10221	NM_025195
Plate 2	C07	M-006703-02	C9ORF12	64768	NM_022755
Plate 2	C08	M-019939-01	CALM3	808	NM_005184
Plate 2	C09	M-004940-00	CAMK1	8536	NM_003656
Plate 2	C10	M-004946-00	CAMK1D	57118	NM_020397
Plate 2	C11	M-004941-01	CAMK1G	57172	NM_020439
Plate 2	C12	M-004942-00	CAMK2A	815	NM_015981
Plate 2	D01	NA	WEE1	NA	NA
Plate 2	D02	NA	GFP	NA	NA
Plate 2	D03	M-004943-03	CAMK2B	816	NM_001220
Plate 2	D04	M-004042-02	CAMK2D	817	NM_001221
Plate 2	D05	M-004536-01	CAMK2G	818	NM_001222
Plate 2	D06	M-004944-01	CAMK4	814	NM_001744
Plate 2	D07	M-004912-00	CAMKK1	84254	NM_172207
Plate 2	D08	M-004842-01	CAMKK2	10645	NM_006549
Plate 2	D09	M-004395-00	CARD10	29775	NM_014550
Plate 2	D10	M-004397-00	CARD14	79092	NM_024110
Plate 2	D11	M-005013-01	TNNI3K	51086	NM_015978
Plate 2	D12	M-006815-00	CARKL	23729	NM_013276
Plate 2	E01	NA	mock	NA	NA
Plate 2	E02	NA	COPB2	NA	NA
Plate 2	E03	M-005311-01	CASK	8573	NM_003688
Plate 2	E04	M-007831-00	CCL2	6347	NM_002982
Plate 2	E05	M-007843-01	CCL4	6351	NM_002984
Plate 2	E06	M-004686-01	CCRK	23552	NM_012119
Plate 2	E07	M-003775-01	CD3E	916	NM_000733
Plate 2	E08	M-005234-01	CD4	920	NM_000616
Plate 2	E09	M-013630-02	CD7	924	NM_006137
Plate 2	E10	M-007732-00	CDADC1	81602	NM_030911
Plate 2	E11	M-003224-03	CDC2	983	NM_001786
Plate 2	E12	M-004687-01	CDC2L1	984	NM_001787
Plate 2	F01	NA	PLK1	NA	NA
Plate 2	F02	NA	Allstar	NA	NA
Plate 2	F03	M-004026-01	CDC2L2	985	NM_024011
Plate 2	F04	M-004688-00	CDC2L5	8621	NM_003718
Plate 2	F05	M-003814-02	CDC42BPA	8476	NM_003607
Plate 2	F06	M-004075-01	CDC42BPB	9578	NM_006035
Plate 2	F07	M-003234-02	CDC7	8317	NM_003503
Plate 2	F08	M-003235-04	CDK10	8558	NM_003674
Plate 2	F09	M-004689-00	CDK11	23097	NM_015076
Plate 2	F10	M-003236-04	CDK2	1017	NM_001798
Plate 2	F11	M-003237-01	CDK3	1018	NM_001258
Plate 2	F12	M-003238-02	CDK4	1019	NM_000075
Plate 2	G01	NA	GFP	NA	NA
Plate 2	G02	NA	WEE1	NA	NA
Plate 2	G03	M-003239-01	CDK5	1020	NM_004935
Plate 2	G04	M-008988-00	CDK5R1	8851	NM_003885
Plate 2	G05	M-008885-00	CDK5R2	8941	NM_003936
Plate 2	G06	M-013297-01	CDK5RAP1	51654	NM_016082
Plate 2	G07	M-012957-00	CDK5RAP3	80279	NM_025197
Plate 2	G08	M-003240-02	CDK6	1021	NM_001259
Plate 2	G09	M-003241-01	CDK7	1022	NM_001799
Plate 2	G10	M-003242-02	CDK8	1024	NM_001260
Plate 2	G11	M-003243-02	CDK9	1025	NM_001261
Plate 2	G12	M-004323-01	CDKL1	8814	NM_004196
Plate 2	H01	NA	Allstar	NA	NA
Plate 2	H02	NA	PLK1	NA	NA
Plate 2	H03	M-004797-00	CDKL2	8999	NM_003948
Plate 2	H04	M-004798-00	CDKL3	51265	NM_016508
Plate 2	H05	M-004799-02	CDKL5	6792	NM_003159
Plate 2	H06	M-003471-00	CDKN1A	1026	NM_000389
Plate 2	H07	M-003472-00	CDKN1B	1027	NM_004064
Plate 2	H08	M-003244-03	CDKN1C	1028	NM_000076
Plate 2	H09	M-003245-02	CDKN2B	1030	NM_004936
Plate 2	H10	M-003246-01	CDKN2C	1031	NM_001262
Plate 2	H11	M-003247-02	CDKN2D	1032	NM_001800
Plate 2	H12	M-003879-00	CDKN3	1033	NM_005192
